id,rank,value,grade,category,year,type
Los Angeles,53,D,D,1,2013,grade
Los Angeles,49,D+,D+,2,2013,grade
Los Angeles,52,D,D,6,2013,grade
Los Angeles,52,D,D,7,2013,grade
Los Angeles,50,D,D,8,2013,grade
Los Angeles,48,D+,D+,9,2013,grade
Los Angeles,53,D,D,10,2013,grade
Los Angeles,48,D+,D+,11,2013,grade
Los Angeles,50,D,D,12,2013,grade
Los Angeles,22,B,B,22,2013,grade
Los Angeles,40,C,C,23,2013,grade
Miami,52,D,D,1,2013,grade
Miami,50,D,D,2,2013,grade
Miami,25,B,B,6,2013,grade
Miami,33,C+,C+,7,2013,grade
Miami,27,B-,B-,8,2013,grade
Miami,25,B,B,9,2013,grade
Miami,34,C+,C+,10,2013,grade
Miami,17,B+,B+,11,2013,grade
Miami,23,B,B,12,2013,grade
Miami,33,C+,C+,22,2013,grade
Miami,21,B,B,23,2013,grade
Milwaukee,33,C+,C+,1,2013,grade
Milwaukee,12,A-,A-,2,2013,grade
Milwaukee,40,C,C,6,2013,grade
Milwaukee,39,C,C,7,2013,grade
Milwaukee,38,C,C,8,2013,grade
Milwaukee,41,C,C,9,2013,grade
Milwaukee,37,C,C,10,2013,grade
Milwaukee,42,C-,C-,11,2013,grade
Milwaukee,39,C,C,12,2013,grade
Milwaukee,20,B+,B+,22,2013,grade
Milwaukee,44,C-,C-,23,2013,grade
Minneapolis,17,B+,B+,1,2013,grade
Minneapolis,20,B+,B+,2,2013,grade
Minneapolis,35,C+,C+,6,2013,grade
Minneapolis,36,C+,C+,7,2013,grade
Minneapolis,31,C+,C+,8,2013,grade
Minneapolis,38,C,C,9,2013,grade
Minneapolis,41,C-,C-,10,2013,grade
Minneapolis,35,C+,C+,11,2013,grade
Minneapolis,30,B-,B-,12,2013,grade
Minneapolis,43,C-,C-,22,2013,grade
Minneapolis,44,C-,C-,23,2013,grade
Nashville,6,A,A,1,2013,grade
Nashville,5,A+,A+,2,2013,grade
Nashville,14,A-,A-,6,2013,grade
Nashville,16,B+,B+,7,2013,grade
Nashville,3,A+,A+,8,2013,grade
Nashville,4,A+,A+,9,2013,grade
Nashville,18,B+,B+,10,2013,grade
Nashville,13,A-,A-,11,2013,grade
Nashville,19,B+,B+,12,2013,grade
Nashville,15,A-,A-,22,2013,grade
Nashville,15,A-,A-,23,2013,grade
New York,37,C,C,1,2013,grade
New York,52,D,D,2,2013,grade
New York,30,B-,B-,6,2013,grade
New York,38,C,C,7,2013,grade
New York,37,C,C,8,2013,grade
New York,32,C+,C+,9,2013,grade
